country,code,estimate,stderr,numsrc,rank,lower,upper
Netherlands,NLD,1.8,0.23,7,96.63,89.9,99.52
Norway,NOR,1.86,0.24,6,97.6,90.87,100
Nepal,NPL,-1.05,0.23,9,14.9,7.21,26.92
Nauru,NRU,-0.13,1.05,1,47.12,1.92,93.27
New Zealand,NZL,1.67,0.23,7,94.23,86.54,99.52
Oman,OMN,0.26,0.24,6,62.5,46.63,73.56
Pakistan,PAK,-0.68,0.21,10,25.96,14.9,39.42
Panama,PAN,0.07,0.21,9,55.29,40.38,66.83
Palau,PLW,-0.05,1.05,1,51.44,1.92,93.75
Peru,PER,-0.07,0.19,11,49.52,37.02,62.02
Philippines,PHL,0.05,0.2,10,54.81,40.38,66.35
Papua New Guinea,PNG,-0.81,0.24,7,19.71,10.1,36.54
Poland,POL,0.6,0.2,9,73.08,62.5,78.37
Puerto Rico,PRI,-0.16,0.33,2,45.19,24.04,66.35
"Korea, Dem. Rep.",PRK,-1.4,0.27,5,7.69,1.92,15.38
Portugal,PRT,1.15,0.23,7,84.13,75,92.31
Paraguay,PRY,-0.53,0.21,10,33.17,17.31,41.83
Qatar,QAT,0.71,0.22,7,75,65.38,81.73
Réunion,REU,1.09,0.46,1,83.17,64.9,97.12
Romania,ROM,-0.28,0.2,9,40.38,29.81,54.81
Russian Federation,RUS,0.15,0.2,9,58.17,43.75,69.23
Rwanda,RWA,0.19,0.2,10,60.58,46.15,70.67
Samoa,WSM,0.44,0.35,3,68.75,45.67,79.81
Saudi Arabia,SAU,0.31,0.22,8,64.42,50.96,73.56
Sudan,SDN,-1.62,0.2,10,5.29,1.44,10.1
Senegal,SEN,-0.06,0.19,12,50.96,38.46,62.02
Singapore,SGP,2.22,0.22,8,100,97.12,100
Solomon Islands,SLB,-1,0.35,3,15.38,5.29,36.54
Sierra Leone,SLE,-1.13,0.21,10,12.5,7.21,20.19
El Salvador,SLV,-0.47,0.21,10,35.58,19.71,47.12
San Marino,SMR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Somalia,SOM,-2.24,0.2,8,0.96,0,1.92
São Tomé and Principe,STP,-0.63,0.23,7,29.81,14.9,40.87
Suriname,SUR,-0.59,0.3,3,30.77,13.46,48.08
Slovak Republic,SVK,0.67,0.22,8,74.04,64.42,80.77
Slovenia,SVN,1.08,0.22,8,82.21,75,90.87
Sweden,SWE,1.83,0.23,7,97.12,90.87,99.52
Swaziland,SWZ,-0.68,0.21,8,25.48,14.9,39.42
Seychelles,SYC,0.52,0.22,7,71.15,59.13,77.88
Syrian Arab Republic,SYR,-1.71,0.28,4,3.37,0.96,10.1
Chad,TCD,-1.57,0.2,10,5.77,1.92,10.1
Togo,TGO,-0.92,0.2,11,15.87,10.1,30.29
Thailand,THA,0.36,0.2,9,65.87,53.37,74.04
Tajikistan,TJK,-1.05,0.23,9,14.42,7.21,25
Turkmenistan,TKM,-1.16,0.26,5,11.06,5.29,23.56
Timor-Leste,TMP,-0.88,0.27,5,16.83,10.1,35.58
Tonga,TON,0.16,0.34,4,59.13,37.02,75
Trinidad and Tobago,TTO,0.1,0.23,6,57.21,39.9,69.23
Tunisia,TUN,-0.1,0.19,12,48.56,36.54,61.06
Turkey,TUR,0.05,0.2,10,54.33,39.9,66.35
Tuvalu,TUV,-0.65,0.35,3,27.88,10.1,50
"Taiwan, China",TWN,1.44,0.22,8,90.87,81.73,96.15
Tanzania,TZA,-0.88,0.19,12,17.31,10.58,31.73
Uganda,UGA,-0.59,0.19,12,31.25,16.35,40.38
Ukraine,UKR,-0.3,0.2,9,39.9,28.85,53.37
Uruguay,URY,0.7,0.21,10,74.52,65.87,80.77
United States,USA,1.49,0.23,7,91.35,83.65,97.6
Uzbekistan,UZB,-0.51,0.24,8,34.13,15.87,47.12
St. Vincent and the Grenadines,VCT,0.23,0.35,2,62.02,38.94,75
"Venezuela, RB",VEN,-1.66,0.21,10,4.33,1.44,10.1
Virgin Islands (U.S.),VIR,0.82,0.46,1,76.44,54.81,92.31
Vietnam,VNM,0.04,0.21,9,53.85,39.42,66.35
Vanuatu,VUT,-0.55,0.34,4,32.69,12.98,52.4
West Bank and Gaza,WBG,-0.74,0.32,3,23.08,10.1,41.35
"Jersey, Channel Islands",JEY,1.24,0.43,1,86.06,71.63,99.04
"Yemen, Rep.",YEM,-2.28,0.23,8,0.48,0,1.92
Serbia,SRB,0.02,0.24,7,53.37,38.46,66.83
South Africa,ZAF,0.37,0.18,13,66.35,55.77,73.56
"Congo, Dem. Rep.",ZAR,-1.63,0.2,10,4.81,1.44,10.1
Zambia,ZMB,-0.68,0.2,11,27.4,14.9,38.94
Zimbabwe,ZWE,-1.21,0.19,12,10.58,6.25,16.35
